iter	Logloss
0	0.6573220183
1	0.6213209991
2	0.5880429912
3	0.5613924682
4	0.5400429872
5	0.5163847637
6	0.4974847867
7	0.4836288252
8	0.4683871315
9	0.4525544651
10	0.4403816548
11	0.4300971333
12	0.4182270439
13	0.4094073835
14	0.4012250003
15	0.3932815182
16	0.3864267979
17	0.3816577885
18	0.3765722416
19	0.3716256501
20	0.3664682809
21	0.362608034
22	0.358560795
23	0.3548209116
24	0.3514231915
25	0.347824812
26	0.3448520754
27	0.3416663606
28	0.3387370105
29	0.3356114877
30	0.3326921947
31	0.3303055413
32	0.3281543765
33	0.3258873178
34	0.3236530506
35	0.3212840765
36	0.3194184248
37	0.3181667336
38	0.3165671177
39	0.3143751802
40	0.312564996
41	0.3110018143
42	0.3101158834
43	0.3087468434
44	0.3068881276
45	0.3050669532
46	0.3035452334
47	0.3023691757
48	0.3004849561
49	0.2992831196
50	0.298389518
51	0.2968826056
52	0.2958049433
53	0.2949544548
54	0.2936571962
55	0.292529446
56	0.2912700175
57	0.2904184716
58	0.2892259491
59	0.2882315192
60	0.287393904
61	0.2863365403
62	0.2856108474
63	0.2848543393
64	0.283777611
65	0.2832103158
66	0.2819361292
67	0.280324929
68	0.2792638992
69	0.2782192862
70	0.2777477854
71	0.2768520945
72	0.2761397486
73	0.2750438324
74	0.2744376348
75	0.2736849912
76	0.2732691875
77	0.2729504863
78	0.272072642
79	0.2716007083
80	0.2707909753
81	0.2701277548
82	0.2691705438
83	0.2684343877
84	0.2673060671
85	0.2667448543
86	0.2658163991
87	0.2651796923
88	0.2646809822
89	0.2639832
90	0.2627242455
91	0.2622339648
92	0.2616917451
93	0.2604854825
94	0.2597673086
95	0.2595183447
96	0.2589111881
97	0.258062389
98	0.2575270515
99	0.2568185235
100	0.2560344644
101	0.2551038681
102	0.254815666
103	0.2540761713
104	0.2529266642
105	0.2521471083
106	0.2518500563
107	0.2511647298
108	0.250625703
109	0.2502612921
110	0.2497277593
111	0.2493165549
112	0.2487991599
113	0.2484473434
114	0.2481440125
115	0.2479919034
116	0.2474767951
117	0.2468647512
118	0.2461444849
119	0.2454590191
120	0.245289032
121	0.2443050456
122	0.2435740692
123	0.2432234665
124	0.2427015718
125	0.2422169988
126	0.241411847
127	0.2408030204
128	0.2402326071
129	0.239850011
130	0.2388472054
131	0.2386133674
132	0.2382658981
