iter	Logloss
133	0.2377299708
134	0.2370689273
135	0.2366360741
136	0.2361553937
137	0.2353080988
138	0.2348857752
139	0.2340765153
140	0.2332361355
141	0.2327328998
142	0.2322456435
143	0.2319348651
144	0.2315731112
145	0.2311111383
146	0.2304756228
147	0.2297605359
148	0.2294218058
149	0.2291829858
150	0.2291164853
151	0.2288817597
152	0.2285780537
153	0.2279948674
154	0.2276275509
155	0.2272770677
156	0.2265949554
157	0.2260717265
158	0.2252074947
159	0.2246604157
160	0.2242433379
161	0.2240322466
162	0.2238277871
163	0.2231414544
164	0.2222753509
165	0.2221651703
166	0.2219607576
167	0.2217759897
168	0.2216814537
169	0.2213437402
170	0.2208109292
171	0.2202181194
172	0.2200320119
173	0.2193310869
174	0.2186665571
175	0.2175710774
176	0.2167215524
177	0.216665042
178	0.2161943036
179	0.2157906276
180	0.215229353
181	0.2150778567
182	0.2143811928
183	0.2137020763
184	0.2131950106
185	0.2129449074
186	0.2128328123
187	0.2121185458
188	0.2112893009
189	0.2104754296
190	0.2101825641
191	0.2095816438
192	0.2087595865
193	0.2082150358
194	0.2077683241
195	0.2073111788
196	0.20672002
197	0.2059388387
198	0.2054911691
199	0.2047048861
200	0.2041305498
201	0.2034174264
202	0.2030205961
203	0.2024160839
204	0.2018605675
205	0.2016324866
206	0.2009456181
207	0.1999881193
208	0.199423533
209	0.198920454
210	0.1983537313
211	0.1980909044
212	0.1977322569
213	0.1974862593
214	0.1967553675
215	0.1963011815
216	0.1957412145
217	0.194850556
218	0.1948103188
219	0.1942535532
220	0.1935509699
221	0.1932238829
222	0.1928086755
223	0.1925283086
224	0.1922349406
225	0.1917325305
226	0.1913069312
227	0.1905808923
228	0.1903334027
229	0.1895151022
230	0.1890525481
231	0.1886586477
232	0.1884814569
233	0.1877950372
234	0.1870934076
235	0.1867703982
236	0.1862266005
237	0.1856344266
238	0.1851175569
239	0.1845192239
240	0.1838717811
241	0.1831603524
242	0.1827030044
243	0.1822493913
244	0.1821698392
245	0.1818763595
246	0.1817669455
247	0.181138626
248	0.1807839136
249	0.180357869
250	0.1794595541
251	0.1786922065
252	0.1780868753
253	0.1776006717
254	0.1769994544
255	0.1764978398
256	0.175858728
257	0.1752237568
258	0.1742449809
259	0.1738025857
260	0.1733051634
261	0.1730110807
262	0.1729666405
263	0.1726471917
264	0.1726131286
265	0.1721996439
266	0.1717204717
267	0.1711197005
268	0.1709314078
269	0.1707096951
270	0.1698866725
271	0.1692436884
272	0.1686024943
273	0.1679584368
274	0.1674299228
275	0.1668835165
276	0.1663803028
277	0.1657299466
278	0.1654909741
279	0.1648975088
280	0.1644895244
281	0.163851682
282	0.1633015207
283	0.16314963
284	0.162674714
285	0.1623701507
286	0.161641681
287	0.1612616341
288	0.1610452592
289	0.1607581575
290	0.1602293211
291	0.1595147349
292	0.1594514541
293	0.1587897851
294	0.1583387059
295	0.157832072
296	0.1573652678
297	0.1571900991
298	0.1567131951
299	0.1563377752
300	0.1560365406
301	0.1555090378
302	0.1554366651
303	0.1549149602
304	0.1543192359
305	0.1537378085
306	0.1533674729
307	0.1533487997
308	0.1528387755
309	0.1524174992
310	0.1519466249
311	0.151497385
312	0.1509423595
313	0.1503853462
314	0.1499814707
315	0.149359973
316	0.1488587714
317	0.1486417656
318	0.1482734554
319	0.147686083
320	0.1474610451
321	0.147335276
322	0.1470445839
323	0.1469007057
324	0.1467384846
325	0.1462597201
326	0.145930174
327	0.1456023423
328	0.1451040539
329	0.1448154375
330	0.1442120993
331	0.1436879553
332	0.1433169077
333	0.1431171724
334	0.1429720883
335	0.142559654
336	0.1420193244
337	0.1415295156
338	0.1412802624
339	0.1408974217
340	0.1404948759
341	0.1401416009
342	0.139860157
343	0.1396760747
344	0.1392643501
345	0.1387651768
346	0.1383304597
347	0.1375833491
348	0.1370920555
349	0.1367131975
350	0.1364086211
351	0.1360410505
352	0.1356624807
353	0.1353955932
354	0.1349413756
355	0.1344038025
356	0.1339010615
357	0.1337996723
358	0.1332445807
359	0.1329473271
360	0.1325582844
361	0.1323298725
362	0.1320622514
363	0.1317930795
364	0.1317768787
365	0.131110248
366	0.1308415397
367	0.130788056
368	0.1306091059
369	0.1301712149
370	0.1296433198
371	0.1296310596
372	0.1292047464
373	0.128725055
374	0.1286764284
375	0.1283007028
376	0.1277764084
377	0.1273887697
378	0.1267635944
379	0.126462845
380	0.1263851922
381	0.1263229923
382	0.1261601595
383	0.125812251
384	0.1254553932
385	0.125133859
386	0.1247941239
387	0.1242273897
388	0.1237409304
389	0.1231986436
390	0.1231845417
391	0.1230877443
392	0.1226682492
393	0.1223281852
394	0.1221069414
395	0.1216401201
396	0.1212439572
397	0.120931364
398	0.1207447178
399	0.1205748312
400	0.1200739502
401	0.1197946145
402	0.1196985781
403	0.1196502966
404	0.1195302128
405	0.1191113267
406	0.1185818862
407	0.1181465242
408	0.1177307821
409	0.1174698932
410	0.1168870207
411	0.1165104078
412	0.1163751963
413	0.1160481629
414	0.1157354264
415	0.1155443966
416	0.1150846972
417	0.1145852987
418	0.1144560395
419	0.1141334398
420	0.114039748
421	0.1136829352
422	0.1132649975
423	0.1130576193
424	0.1130521664
425	0.1129672136
426	0.1126806555
427	0.1124166198
428	0.1122711032
429	0.1122017729
430	0.1117888764
431	0.1114796358
432	0.1114274136
433	0.1109063853
434	0.1106492157
435	0.1104747232
436	0.1102186739
437	0.1099296447
438	0.1094435758
439	0.1089910662
440	0.1088293921
441	0.1083677118
442	0.1079814812
443	0.1076542461
444	0.1076447173
445	0.1076138807
446	0.107257618
447	0.1071195405
448	0.1068927103
449	0.1068190201
450	0.1065014651
451	0.106381498
452	0.1060707314
453	0.1056514376
454	0.1054751858
455	0.1052317642
456	0.104936596
457	0.1046053253
458	0.1042487321
459	0.1039788278
460	0.103696527
461	0.1033029395
462	0.103091457
463	0.1027439772
464	0.1024414305
465	0.1023221961
466	0.1020417788
467	0.1017979103
468	0.1014366527
469	0.1011811757
470	0.1010131328
471	0.100831883
472	0.1006521832
473	0.1004443117
474	0.1001921101
475	0.09996389197
476	0.09996023011
477	0.09986898153
478	0.0995992002
479	0.0993563485
480	0.0993418998
481	0.09894666683
482	0.09856329964
483	0.09840068754
484	0.09815756538
485	0.09801303411
486	0.09760486741
487	0.0972550274
488	0.09683152368
489	0.09661497926
490	0.09636369409
491	0.09611193823
492	0.09580924857
493	0.09558446874
494	0.0953343847
495	0.09498812921
496	0.09472617804
497	0.09444334287
498	0.09426039567
499	0.09408846704
500	0.09389764024
501	0.09367797643
502	0.09337037841
503	0.09329654169
504	0.09290384066
505	0.09259170953
506	0.09220058529
507	0.09215121735
508	0.09197022237
509	0.09172807639
510	0.09172466439
511	0.09140577781
512	0.09117497965
513	0.09099652535
514	0.09091670554
515	0.09070413259
516	0.09037962366
517	0.09020025991
518	0.0899992855
519	0.0897058475
520	0.08951544229
521	0.08929968761
522	0.0891992831
523	0.08892434007
524	0.08857109507
525	0.08830968777
526	0.0879670275
527	0.08770037601
528	0.08749716674
529	0.08724995637
530	0.08699061715
531	0.08667160686
532	0.08634138256
533	0.08619097183
534	0.08593423721
535	0.0857461702
536	0.0854857011
537	0.08531313622
538	0.08518308653
539	0.08509001315
540	0.08484310788
541	0.08460700021
542	0.08428623192
543	0.08408337947
544	0.08393398687
545	0.08374502693
546	0.08355953223
547	0.08326870659
548	0.08312198909
549	0.08297467493
550	0.08280659325
551	0.08265317382
552	0.08250525525
553	0.08234284973
554	0.08219477552
555	0.08190691751
556	0.08177420269
557	0.0815596276
558	0.08144363824
559	0.08125555287
560	0.08112983094
561	0.08101774868
562	0.08087576935
563	0.08067561534
564	0.08053432978
565	0.08040980741
566	0.0802544974
567	0.07991885861
568	0.07982749641
569	0.07958834161
570	0.07942328244
571	0.07915419944
572	0.07887391124
573	0.07873757517
574	0.07864444171
575	0.07831455398
576	0.07814696696
577	0.07795764909
578	0.07781981226
579	0.07756093709
580	0.07726061796
581	0.07702778213
582	0.07702502573
583	0.07688060187
584	0.07671716644
585	0.07647745706
586	0.07619999982
587	0.07590001887
588	0.07586109411
589	0.0756959302
590	0.07548336464
591	0.07521554503
592	0.07511369031
593	0.07489327821
594	0.07474616588
595	0.07455153494
596	0.07430792214
597	0.07429730692
598	0.07419741122
599	0.07400556729
