Column,Count,Mean,StdDev,Min,Max,Null Count,Null %
anime_id,35305695,11481.590444006271,11217.19285030339,1.0,37863.0,0,0.00
my_score,35305695,4.591388188222892,3.909502686449956,0.0,10.0,0,0.00
user_id,35305695,1863855.894973488,1963096.0784954347,1.0,7251737.0,0,0.00
scored_by,35305695,109645.6659636643,147933.39164868114,6.42,1009477.0,0,0.00
rank,34554095,2049.8280988114434,1997.4709825004584,1.0,23432.0,751600,2.13
popularity,35305325,1336.948640722044,1564.5068863924698,1.0,10265.0,370,0.00
